"Symbol","Name","Closed Date","Opened Date","Quantity","Proceeds Per Share","Cost Per Share","Proceeds","Cost Basis (CB)","Gain/Loss ($)","Gain/Loss (%)","Long Term Gain/Loss","Short Term Gain/Loss","Term","Unadjusted Cost Basis","Wash Sale?","Disallowed Loss","Transaction Closed Date","Transaction Cost Basis","Total Transaction Gain/Loss ($)","Total Transaction Gain/Loss (%)","LT Transaction Gain/Loss ($)","LT Transaction Gain/Loss (%)","ST Transaction Gain/Loss ($)","ST Transaction Gain/Loss (%)"
"TSLA","TESLA INC","06/06/2025","06/06/2025","500","$275.58","$279.47","$137,787.67","$139,733.65","-$1,945.98","-1.412303437601%","","-$1,945.98","Short Term","$139,733.65","No","","06/05/2025","","","","","","",""
"HIMS","HIMS & HERS HEALTH I A","05/27/2025","05/27/2025","1,000","$55.57","$55.48","$55,569.83","$55,479.90","$89.93","0.162094740618%","","$89.93","Short Term","$55,479.90","No","","05/27/2025","","","","","","",""
"PLTR","PALANTIR TECHNOLOGIE A","05/27/2025","05/27/2025","500","$125.53","$125.30","$62,764.92","$62,650.00","$114.92","0.183431763767%","","$114.92","Short Term","$62,650.00","No","","05/27/2025","","","","","","",""
"PLTR","PALANTIR TECHNOLOGIE A","05/27/2025","05/27/2025","500","$125.36","$125.39","$62,679.92","$62,694.95","$0.00","0%","","$0.00","Short Term","$62,694.95","Yes","$15.03","05/27/2025","","","","","","",""
"PLTR","PALANTIR TECHNOLOGIE A","05/27/2025","05/27/2025","500","$125.88","$125.49","$62,939.97","$62,742.53","$197.44","0.31468287938%","","$197.44","Short Term","$62,742.53","No","","05/27/2025","$62,727.50","$212.47","0.338719062612%","","","$212.47","0.3387190626120936%"
"PLTR","PALANTIR TECHNOLOGIE A","05/27/2025","05/27/2025","1,000","$127.05","$127.16","$127,049.93","$127,155.00","-$105.07","-0.082631434077%","","-$105.07","Short Term","$127,155.00","No","","05/27/2025","","","","","","",""
"HIMS","HIMS & HERS HEALTH I A","05/13/2025","05/13/2025","1,000","$62.07","$61.80","$62,069.93","$61,800.00","$269.93","0.436779935275%","","$269.93","Short Term","$61,800.00","No","","05/13/2025","","","","","","",""
"NVDA","NVIDIA CORP","05/13/2025","05/13/2025","500","$130.84","$130.70","$65,422.37","$65,350.00","$72.37","0.110742157613%","","$72.37","Short Term","$65,350.00","No","","05/13/2025","","","","","","",""
"PLTR","PALANTIR TECHNOLOGIE A","05/13/2025","05/13/2025","1,000","$125.66","$124.97","$125,660.03","$124,975.00","$685.03","0.548133626725%","","$685.03","Short Term","$124,975.00","No","","05/13/2025","","","","","","",""
"NVDA","NVIDIA CORP","04/03/2025","04/03/2025","800","$108.13","$108.44","$86,504.35","$86,751.32","-$246.97","-0.285500093348%","","-$246.97","Short Term","$86,751.32","No","","04/02/2025","","","","","","",""
"NVDA","NVIDIA CORP","04/02/2025","04/02/2025","1,000","$108.54","$108.78","$108,537.21","$108,780.00","$0.00","0%","","$0.00","Short Term","$108,780.00","Yes","$242.79","04/02/2025","","","","","","",""
"NVDA","NVIDIA CORP","04/02/2025","04/02/2025","1,000","$109.21","$109.16","$109,206.79","$109,162.79","$44.00","0.040306774863%","","$44.00","Short Term","$109,162.79","No","","04/02/2025","$108,920.00","$286.79","0.263303341902%","","","$286.79","0.26330334190230814%"
"PLTR","PALANTIR TECHNOLOGIE A","04/02/2025","04/02/2025","1,000","$86.92","$86.42","$86,917.41","$86,419.61","$497.80","0.576026668021%","","$497.80","Short Term","$86,419.61","No","","04/02/2025","","","","","","",""
